date,case,doc_name,doc_link
2017-11-21,"AdoreMe, Inc.",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (159.07 KB),https://www.ftc.gov/system/files/documents/cases/adoreme_proposed_order.pdf
2017-11-15,Tarr Inc.,Stipulated Order for Permanent Injunction and Monetary Judgment Against All Defendants (335.98 KB),https://www.ftc.gov/system/files/documents/cases/tarr_inc_stipulated_order_for_permanent_injunction_11-15-17.pdf
2017-10-30,"Credit Bureau Center, LLC (formerly known as MyScore LLC)",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants Danny Pierce and Andrew Lloyd (472.89 KB),https://www.ftc.gov/system/files/documents/cases/my_score_stip_perm_inj_mon_jdmt_re_pierce_lloyd_redacted.pdf
2017-10-26,Universal Network Solutions,"[Proposed] Order for Permanent Injunction and Monetary Judgment Against Defendants Universal Network Solutions, LLC and Rajinder Singh (132.15 KB)",https://www.ftc.gov/system/files/documents/cases/172_3208_prop_order_perm_injx_and_monetary_jx.pdf
2017-09-25,"Telestar Consulting, Inc.",Amended Stipulated Order for Permanent Injunction and Monetary Judgment (703.79 KB),https://www.ftc.gov/system/files/documents/cases/telestar_amended_stip_ord.pdf
2017-09-21,"Pact, Inc.",Stipulation and Proposed Order for Permanent Injunction and Monetary Judgment  (6.11 MB),https://www.ftc.gov/system/files/documents/cases/1523010pactstiporderjudgment.pdf
2017-09-01,"Federal Trade Commission v. G2 Consulting, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment (125.42 KB),https://www.ftc.gov/system/files/documents/cases/g2_stipulated_order_update.pdf
2017-08-31,John Fowler,Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Christopher Reinhold (1.21 MB),https://www.ftc.gov/system/files/documents/cases/john_fowler-reinhold_stipulated_order_for_permanent_injunction_8-31-17.pdf
2017-08-31,"ABC Hispana Inc., et al.",Final Order for Permanent Injunction and Monetary Judgment Against All Defendants (381.35 KB),https://www.ftc.gov/system/files/documents/cases/152_3108_abc_hispana_-_final_order.pdf
2017-08-30,Unified Global Group,Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Anthony Coppola (2.26 MB),https://www.ftc.gov/system/files/documents/cases/audubon_show_order.pdf
2017-08-29,"I Works, Inc., et al.","Order for Permanent Injunction and Monetary Judgment as to Defendants Duane Fielding, Anthon Holdings, Inc., and Network Agenda, LLC (476.04 KB)",https://www.ftc.gov/system/files/documents/cases/x110001_iworks_fieldingorder.pdf
2017-07-14,D&S Marketing Solutions LLC,"Stipulated Order for Permanent Injunction and Monetary Judgment Against Defendants D & S Marketing Solutions LLC, Grand Marketing Solutions LLC, and Sean K. Juhl (119.21 KB)",https://www.ftc.gov/system/files/documents/cases/ds_marketing_ecf_68_stipulated_order_entered_by_scriven_redacted.pdf
2017-07-05,Blue Global and Christopher Kay,Stipulated Order For Permanent Injunction and Monetary Judgment [Proposed] (459.52 KB),https://www.ftc.gov/system/files/documents/cases/ftc_v_blue_global_de04_1.pdf
2017-06-23,"American eVoice, Ltd. and Emerica Media Corporation, et al.",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment as to the Corporate Defendants  (668.61 KB),https://www.ftc.gov/system/files/documents/cases/170622amevoicecorporateorder.pdf
2017-06-08,"Lift International, LLC","Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants Lift International, LLC and Ari Monkarsh (236.21 KB)",https://www.ftc.gov/system/files/documents/cases/guidance_order_02_permanent_injunction_and_monetary_judgment_as_to_guidance_and_monkarsh.pdf
2017-05-17,"Volkswagen Group of America, Inc.","Amended Second Partial Stipulated Order for Permanent Injunction and Monetary Judgment, as Entered by the United States District Court (670.51 KB)",https://www.ftc.gov/system/files/documents/cases/170517_volkwagen_ftc_final_order_.pdf
